14C Lab No.,Site Code,Locality,14C,1  Sigma
I-12657,49FAI-VP,Fox Tunnel,11910,180
I-22656,49FAI-VP,Fox Tunnel,12570,390
I-2196,49FAI-VP,Fox Tunnel,13470,420
QL-1365,49FAI-VP,Teklanika,13500,100
SI-2329,49HEA005,Dry Creek,9340,195
SI-1561,49HEA005,Dry Creek,10690,250
SI-1631,49FAI-VP,Dry Creek,11735,130
SI-838,49FAI-VP,Fbks. Cr.,11980,135
SI-290,49FAI-VP,Up. Cleary,12460,320
ST-11633,VP-414,Fbks. Cr,11980,135
SI-453,VP-51?,Fbks. Cr.,15380,300
SI-454,VP-510,Fbks. Area,17210,500
SI-841,49TAN-VP,Manley,18000,200
Uga-6256,49XBD131,Brok. Mamm,9690,960
WSU-4019,UGa6257,Brok. Mamm,11040,260
CAMS-5358,49XBD131,Brok. Mamm,11420,70
WSU-4351,49XBD131,Brok. Mamm,11770,210
Beta-67494,ADF&G,Birch Cr.,11900,70
ST-1631,UAF-VP,Cleary Cr.,11735,130
ST-1561,UAF-VP,Dry Cr.,10715,225
CAMS-5357,49XBD131,Brok. Mamm,10290,70
RS-9200,ADF&G,Yukon Flats,11900,70
CAMS-53774,IK-98-528,Ikpikpuk R.,12270,50
Beta-18552,UAF-VP,Porcupine R.,9000,250
CAMS-53756,IK-98-027,Ikpikpuk R.,11810,50
CAMS-53767,IK-98-343,Ikpikpuk R.,10510,50
OxA10543,UAF-1157,Lost Chicken,13240,75
OXA-10541,UAF-1105,Lost Chicken,12525,70
OxA-11226,UAF-365,Lost Chicken,12380,60
OxA-10542,UAF-1137,Lost Chicken,17960,90
OxA-11277,AMNH,Chatanika,13125,75
OxA-11223,UAF-28,Elephant Pt.,16685,80
OxA-10540,UAF-1088,Lost Chicken,13160,70
OxA-10855,UAF-677,Lost Chicken,12655,65
OxA-10679,UAF-17,Lost Chicken,12340,65
OxA-10538,UAF-226,Lost Chicken,12960,70
OxA-10554,CMN-25856,Lost Chicken,12915,70
CAMS-53891,IK-98-1114,Ikpikpuk R.,10990,50
OxA-12067,ADF7G,Yukon Flats,12425,45
CAMS-53760,IK-98-142,Ikpikpuk R.,12410,50
OxA-11962,UAF-246,Gerstel R.,9506,38
CAMS-53777,IK-98-661,Ikpikpuk R.,17160,80
OxA-11617,AMNH-4160,Fbks.Cr.,13235,65
I-2191,UAF-49,Fox Tunnel,14280,230
I-22656,UAF-49,Fox Tunnel,12570,390
CRNL-1236,Mg3o-3,Bluefish Ca,12370,440
RIDDL-279,Mg3o-3,Bluefish Ca,13390,180
TO-34,MkVl-9A,CRH-11-1,12610,70
RIDDL-561,MgVo-2,Bluefish Ca,10230,140
CRNL-1236,MgVo-3,Bluefish Ca,12370,440
RIDDL-279,MgVo-3,Bluefish Ca,13390,140
QU-783,MkVl-9,CRH-11,12300,750
I-7765,MkVl-9A,CRH-11-1,11990,180
I-3574,MkVl-9A,CRH-11-1,12540,220
QU-780,MkVl-12,CRH-11A,11530,200
I-7764,MkVl-12,CRH-11A,12355,180
QU-782,MkVl-12,CRH-11A,12740,280
RIDDl-362,NiVk-1,Engigstciak,9870,180
RIDDL-281,NiVk-1,Engigstciak,9770,180
RIDDL-319,NiVk-1,Engigstciak,9400,230
OxA-10681,CMN-4669,Bison Cave,13040,70
OxA-11197,CMN-46695,Dawson City,12960,60
OxA-10546,CMN-33039,Old Crow,12350,70
OxA-11166,CMN-46696,Bison Cave,13135,65
