14C Lab No.,Site Code,Locality,14C,1  Sigma
14287,My Lg Antler,Fbks. Area,10159,78
25955,AM 6616,L. Goldstrm.,12770,240
25956,AM 7988,Ester Cr.,10330,120
25957,AM 6606,L. Goldstrm.,12640,140
25958,AM 6605,L. Goldstrm.,12340,130
25959,AM 2030,Chicken Cr.,12350,140
25960,AM 7738,L. Goldstrm.,8650,90
25961,AM 6773,L. Goldstrm.,12425,130
25962,AM 34666,Cleary Cr.,12620,130
25963,AM 34670B,Fbks. Area,262,44
25964,AM 34669,Cleary Cr.,11837,83
25964,AM 34596B,Fbks. Area,6023,76
25966,AM 34670,Cleary Cr.,12026,136
25967,AM 34670A,Cleary Cr.,18210,255
25968,AM34670B,L. Goldstrm.,24388,532
25969,AM 34667,Fbks. Area,12185,139
25970,AM 34668,Fbks. Area,12160,130
25971,AM 8891,Engineer Cr.,12270,140
14293,AM 6837,L. Goldstrm.,12096,81
14294,AM 34661,Cleary Cr.,12577,83
14295,AM 34663,Ester,11644,79
14296,AM 34664,L. Goldstrm.,12359,83
14297,AM 6637,L. Goldstrm.,12562,94
14298,AM 7929,L. Goldstrm.,12468,94
14299,AM 34600,Clear Cr.,12500,106
14300,AM 3423,U. Cleary Cr.,12443,102
14301,AM 5381,40 mi Mining,10805,84
14302,AM 1572,Fbks. Area,11664,96
14303,AM 69178,L. Goldstrm.,12355,93
14304,AM 3380,40 mi Mining,10533,83
14304,AM 2244,Rainbow Mine,12414,93
14306,AM 3052,Cleary Cr.,12281,114
14307,AM 265,Cleary Cr.,12170,93
14308,AM 2115,Cleary Cr.,12584,95
14309,AM 6358,Fox,12446,94
14311,AM 1266,Mastodon Cr.,12501,105
25974,AM 3136,Engineer Cr.,11984,131
25975,AM 6330,Ester Cr.,10292,111
25976,AM 9190,Ester Cr.,12201,135
25977,AM 6638,Ester Cr.,12021,132
25978,AM 5313,Fbks Cr.,12276,135
25979,AM 7616,Ester Cr.,12438,137
25980,AM 6235,L. Goldstrm.,12473,144
25981,AM 2828,Cripple Cr.,12377,135
25982,AM 6232,L. Goldstrm.,12413,149
25983,AM 6850,L. Goldstrm.,12455,139
25985,AM  34674D,L. Goldstrm.,12212,136
25986,AM 6380,Ester Cr.,12441,150
25987,AM 1547,Fairbanks Cr.,12110,133
25988,AM 34672C,Fox,12480,139
25989,AM 34672A,Cleary Cr.,12282,136
25990,AM 6233,L. Goldstrm.,11980,152
25992,AM 34672D,U. Cleary Cr.,12321,138
25993,AM 34672,Cleary,12281,148
25994,AM 34674C,L. Goldstrm.,12237,208
14313,AM 2159,Chicken Cr.,5641,63
14314,AM 4224,L. Eldarado Cr.,12437,139
14315,AM 2160,Chicken Cr.,9793,99
14316,AM 2965,Cripple Cr.,12172,82
14317,AM 2161,Chicken Cr.,4462,52
14318,AM 5266,Fairbanks Cr.,12473,84
14319,AM 25,Cleary Cr.,12346,84
14321,AM 13361,L Eldarado Cr.,12518,85
14322,AM 27,Fbks Cr.,12549,88
14323,AM 4008,L. Goldstrm.,12657,89
26023,USNM-Porter,Lost Chicken,10120,110
14312,AM 4219,Cripple Cr.,37000,greater than
25972,AM 8451,Engineer Cr.,38800,greater than
