14C Lab No.,Site Code,Locality,14C,1  Sigma
I-22656,49FAI-VP,Fox Tunnel,12570,390
I-2196,49FAI-VP,Fox Tunnel,13470,420
I-2197,49FAI-VP,Fox Tunnel,14280,230
DIC-2418,491LIV-VP,Titaluk River,17190,240
I-9422,UAF-?,Fbks. Area,13630,410
I-3569,KKVH-VP-28,Dawson 28,14870,260
I-9316,KLVi-VP,Dawson 32,14990,220
I-9271,KLVi-VP,Dawson 32,16270,230
GSSC-2881,MgVo-1,Bluefish Ca.,12900,100
RIDDL-278,MgVo-1,Bluefish Ca.,17440,220
CRNL-1236,MgVo-3,Bluefish Ca.,12370,220
RIDDL-279,MgVo-3,Bluefish Ca.,13390,180
RIDDL-765,NjVi-VP,CRH-44,16200,150
RIDDL-766,NjVi-VP,CRH-44,16700,200
AA26801,A-216-6190,Goldstream,19390,290
AA26802,A-278-5640,Fairbanks Cr.,14620,170
AA26803,A-274,Cleary,14300,160
AA26804,A-144-6534,Ester Cr.,15370,190
AA26805,A-144-6987,Ester Cr.,14000,160
AA26806,A-256-6140,Goldstream,16480,210
AA26807,A-940,Cleary,16700,220
AA26808,A-144-6306,Ester Cr.,15750,190
AA26809,A-276,Cleary,13940,160
AA26810,A-6159,Fox,12560,140
AA26811,A-1005,Cripple Cr.,13270,150
AA26812,A-114-5278,Engineer Cr.,15570,190
AA26813,A-1013,Goldstream,20170,320
AA26814,A-136,Goldstream,22300,410
AA26815,A-1173,Goldstream,20010,340
AA26816,A-506,Fairbanks Cr.,19470,290
AA26817,A-237-10198   ,Goldstream,14120,180
AA26818,A-114-6551,Ester Cr.,17650,230
AA26819,A-144-9422,Ester Cr.,12510,130
AA26820,A-144-9414,Ester Cr.,15920,190
AA26821,A-2785635,Fairbanks Cr.,18910,280
AA26822,A-216-6846,Goldstream,12710,170
AA26823,A-155-6052,Ester Cr.,19460,290
AA26824,A-114-6801,Ester Cr.,19120,290
AA26825,A-7210,Fox,19740,300
AA26826,A-21-1231,Pedro Cr.,19940,320
AA26827,A-1537,Fish Cr.,19560,300
AA26828,A-144-9399,Ester Cr.,12580,140
AA26829,A-4339,Fairbanks Cr.,12860,140
AA26830,A-46-34,Upper Cleary,12482,80
AA26831,A-123,Birch Creek,15502,100
AA26832,A-119no9,Goldstream,13250,160
AA26833,A-144-9423,Ester Cr.,17910,260
AA26834,A-237-6189,Goldstream,19835,155
AA26835,A-6152,Fox,19580,300
AA26836,A-114-5336,Engineer Cr.,19450,290
AA26837,A-6150,Fox,16130,240
AA26838,A-1016,Goldstream,18080,260
AA26839,A-160-6819,Ester Cr.,18890,280
AA26840,A-558-2402,Cripple Cr Sp,14260,160
AA26841,A-559-4237,Fairbanks Cr.,19830,330
AA26842,A-107-7670,Ester Cr.,19520,300
AA26843,A-5638,Fairbanks Cr.,20020,340
AA26844,A-7211,Fox,21800,370
AA26845,A-114-6909,Ester Cr.,16150,210
AA26846,A-603,Cleary,19065,140
AA26847,A-802,Ester Cr.,20580,330
AA26848,A-160-6805,Ester Cr.,22710,440
AA26849,A-414,Ester Cr.,19790,335
AA26850,A-4-4-2145,Cripple Cr.,20840,350
AA26851,A-107-7716,Ester Cr.,19730,350
AA26852,A-160-6810,Ester Cr.,14990,190
AA26853,A-160-6831,Ester Cr.,23410,200
AA26854,A-160-6811,Ester Cr.,26690,720
AA26855,A-404-2144,Cripple Cr.,21050,360
AA26856,A-1005,Goldstream,20230,320
AA26857,A-244-8413,Engineer Cr.,20580,160
AA26858,A-460-4339,Manley Ht.Sp.,18060,130
AA26859,A-517-1358,Fairbanks Cr.,26450,280
AA26860,A-144-9392,Ester Cr.,19550,310
AA26861,A-6156,Fox,20560,330
AA26862,A-463-3144,Engineer Cr.,20410,320
AA26863,A-5642,Fairbanks Cr.,19835,155
AA26865,A-5198,Fairbanks Cr.,19490,310
AA26866,A-559-4332,Fairbanks Cr.,20545,345
AA26867,A-107-4519,Ester Cr.,36640,2300
AA26868,A-114-6703,Ester Cr.,26105,635
AA26869,A-144-6509,Ester Cr.,20420,325
AA26870,A-265-6149,Fox,19900,305
AA26871,A-559-4330,Fairbanks Cr.,19880,300
AA26872,A-6147,Fox,20450,350
AA26873,A-559-4321,Fairbanks Cr.,25150,570
AA26874,A-506-1353,Fairbanks Cr.,24165,505
AA26875,A-8516,Engineer Cr.,25335,580
AA26876,A-144-9406,Ester Cr.,23620,470
AA26877,A-559-4321,Fairbanks Cr.,20050,320
AA26864,A-963,Cleary,40970,greater than
AA26878,A-4320,Cripple Cr.,41100,greater than
