14C Lab No.,Site Code,Locality,14C,1  Sigma
UGA-6256D,XBD-131,Broken Mammoth,9690,960
Beta-19498,FAI-035,Chugwater,9460,130
AA11733,HEA-005,Dry Creek,9340,195
AA11732,HEA-005,Dry Creek,9690,75
AA51254,XMH-246,Gerstle River,9028,71
Beta-183108,XMH-246,Gerstle River,9080,50
AA51253,XMH-246,Gerstle River,9130,72
Beta-183110,XMH-246,Gerstle River,9400,50
Beta-134098,XMH-246,Gerstle River,9510,50
Beta-133751,XMH-246,Gerstle River,9740,50
AU-1,XBD-020,Healy Lake Village,9245,213
AU-2,XBD-020,Healy Lake Village,9401,528
GX2174,XBD-020,Healy Lake Village,9895,210
?,TLM-128,Jay Creek Ridge,9680,250
?,TLM-128,Jay Creek Ridge,9810,60
Beta-67667,BTH-???,Lime Hills Cave 1,9530,60
Beta-125995,KIR-102,Mesa,9160,140
Beta-140199,KIR-102,Mesa,9500,190
Beta-36805,KIR-102,Mesa,9730,80
Beta-55282,KIR-102,Mesa,9990,80
CAMS-43989,PET-408,On Your Knees Cave,9150,50
CAMS-29873,PET-408,On Your Knees Cave,9730,60
CAMS-32038,PET-408,On Your Knees Cave,9880,50
K-1583,AMR-001,Onion Portage,9570,150
Gx6283,AMR-001,Owl Ridge,9325,305
?,HEA-137,Panguingue Creek,9850,140
UGa941,XMH-149,Sparks Point,9060,425
Beta-62773,XMH-149,Sparks Point,9200,60
Beta-64578,XMH-072,Whitmore Ridge,9600,140
Beta-62222,XMH-072,Whitmore Ridge,9890,70
AA1681,FAI-206,Moose Creek,11190,60
?,DEL-360,Tuluaq,11200,40
Beta-57430,XBD-131,Broken Mammoth,11280,190
?,HEA-130,Walker Road,11300,120
?,FAI-091,Owl Ridge,11340,150
WSU-4265,XBD-020,Healy Lake Village,11410,60
AA2264,XBD-131,Broken Mammoth,11420,70
Beta-11209,?,Putu,11470,500
SI-2382,XBD-131,Broken Mammoth,11540,140
CAMS-8261,XBD-020,Healy Lake Village,11550,50
Beta-76065,KIR-102,Mesa,11660,80
,XBD-156,Swan Point,11660,60
Beta-55286,XBD-156,Broken Mammoth,11770,210
Beta-71372,XBD-131,Swan Point,11770,140
CAMS-17045,XBD-156,Swan Point,12110,50
XBD-156,Swan Point,CZ4b,12360,60
