14C Lab No.,Site Code,Locality,14C,1  Sigma
USGS-1658,49AMR-VP,Epiguruk,14130,60
USGS-1657,49AMR-VP,Epiguruk,14160,140
Beta-2007,49BEN001,Trail Cr. B,14270,950
Beta-29166,49BLR,Porcupine R.,13725,110
I-2197,49FAI-VP,Fox Tunnel,12570,390
I-2196,49FAI-VP,Fox Tunnel,13470,420
I-2197,49FAI-VP,Fox Tunnel,14280,230
QL-1365,49FAI-VP,Teklanika R.,13500,100
DCI-2130,49HEA-VP,Teklanika R.,13340,115
SI-453,49LIV-VP,Fbks. Cr.,15380,300
CAMS-19253,49LIV-VP,Fbks. Cr.,17170,70
CAMS-19250,49LIV-VP,Fbks. Cr.,17550,80
Shell-6713A,49MIS117,Humphrey Si.,17300,800
Beta-9906,49OPH-VP,Colorado Cr.,12980,250
Beta-1699,49OPH-VP,Colorado Cr.,15280,120
AA-683,49OPH-VP,Colorado Cr.,16150,230
CAMS-17408,49XBD71,Mead River,17370,90
AA-17601,49XBD131,Brok. Mamm.,11540,140
Beta-67690,49XBD156,Brok. Mamm.,15830,70
NSRL-2001,49XBD156,Swan Point,12060,70
GSC-1893,KgVh-VP,Scroggie Cr.,16200,130
CRNL-1220,MgVo-1,Bluefish Ca.,12845,250
RIDDL-559,MgVo-1,Bluefish Ca.,13940,160
GSC-3053,MgVo-1,Bluefish Ca.,15540,130
RIDDL-330,MgVo-1,Bluefish Ca.,17880,330
RIDDL-279,MgVo-3,Bluefish Ca.,13390,180
Beta-79835,MjVl-VP,CRH-149,13250,70
Beta-13867,MlVl-VP,CRH-92,13900,340
CRNL-1218,NaVl--7,CRH-87,13415,390
14853,AM 1140,Inglutalik,40826,greater than
14854,AM 1194,Inglutalik,24249,521
14855,AM 2446,Cripple Cr.,26022,640
14856,AM 5025,Fairbanks Cr.,39151,3232
14857,AM 2527,Cripple Cr.,41086,greater than
14858,AM 2442,Cripple Cr.,41094,greater than
14859,AM 2382,Cripple Cr.,41097,greater than
14860,AM 1375,Engineer Cr.,12429,178
14861,AM 305,Cleary Cr.,41097,greater than
14862,AM 142,Cleary Cr.,41063,greater than
14863,AM 8018,Engineer Cr.,41089,greater than
14864,AM 4214,Goldstream,23222,453
14865,AM 8321,Engineer Cr.,41096,greater than
14866,AM 280,Cleary Cr.,16168,209
14867,AM 4953,Goldstream,13339,150
14868,AM 10064,Goldstream,23015,449
14869,AM 7792,Ester Cr,37331,2516
14870,AM 274,Cleary Cr.,25362,584
14871,AM 2015,Cripple Cr.,41064,greater than
14872,AM 10185,Goldstream,15796,195
14873,AM 315,Goldstream,22796,456
14874,AM 8127,Engineer Cr.,40515,3850
14875,AM 8100,Ester Cr.,40925,greater than
14876,AM 301,Goldstream,35700,2155
14877,AM 5852,Engineer Cr.,41037,greater than
14878,AM 112,Cleary Cr.,40924,greater than
14879,AM 322,Goldstream,41096,greater than
14880,AM 6677,Goldstream,12576,147
14881,AM 100,Gilmore Cr.,23808,487
14882,AM 527,Ban Cr.,14679,174
14883,AM 1021,Ester Cr.,13410,152
14884,AM 5332,Fairbanks area,41007,greater than
14885,AM 5454,Dawson cut,41069,greater than
14886,AM 505,Cleary Cr.,40912,greater than
14887,AM 4136,Gold Hill,41027,greater than
14888,AM 1208,Sullivan Cr.,12677,142
14889,AM 3187,Dome Cr.,13661,156
14890,AM 8090,Ester Cr.,18041,275
14891,AM 4504,Ester Cr.,41088,greater than
14892,AM 504,Cleary Cr.,14093,163
14893,AM 8001,Engineer Cr.,47116,2854
14894,AM 493,Ban Cr,15540,145
14895,AM 500,Fairbanks Cr.,14023,98
14362,AM 1188,Inglutalik Cr.,37359,2532
14363,AM 1189,Inglutalik Cr.,31360,1251
14364,AM 1193,Inglutalik Cr.,16319,292
14365,AM 1187,Inglutalik Cr.,41081,greater than
14896,AM 8744,Ester Cr.,16789,108
14897,AM 1170,Long Cr.,19169,138
14898,AM 2123,Fairbanks Cr.,46348,2712
14899,AM 10319,Fox,16243,105
14900,AM 1419,Ester Cr.,14115,88
14901,AM 1001A,MudCr. Seward,42562,1795
14902,AM 529,Goldstream,43373,1875
14907,AM 1131,Koyuk,30485,437
14904,AM 523,Cleary Cr.,43239,1878
14905,AM 2378,Cripple Cr.,49894,greater than
14906,AM 104,Cleary Cr.,42764,1737
14907,AM 530,Cleary Cr.,31547,773
14907,AM 524,Cleary Cr.,29104,465
14907,AM 10412,Goldstream,12884,124
14910,AM 1032,Cleary Cr.,15513,192
14911,AM 502,Cleary Cr.,40415,1341
14912,AM 503,Cleary Cr.,15102,135
14913,AM 545,Goldstream,38252,1048
14914,AM 5096,Fairbanks Cr.,40552,1435
14915,AM 5003,Fairbanks Cr.,15917,106
14916,AM 470,Cleary Cr.,12476,81
14917,AM 525,Cleary Cr.,21848,175
14918,AM 1272,Sulllivan Cr.,19011,132
14919,AM 1006,Dome Cr.,14372,92
14920,AM BC32,Ban Cr.,15453,99
14921,AM 544,Goldstream,37212,867
14922,AM 10333,Goldstream,17437,132
14923,AM 508,Cleary Cr.,14390,92
14924,AM 1169,Long Cr.,19878,141
14352,AM 1186,Inglutalik,40878,greater than
14925,AM 1287,40 mi,13226,85
14926,AM 1227,Fairbanks Cr.,35537,714
14927,AM 140,Fairbanks Cr.,39805,1225
14928,AM 7391,Goldstream,15947,121
14929,AM 5002,Fairbanks Cr.,19477,173
14930,AM 5186,Fairbanks area,27436,308
14931,AM 2581,Cruiple Cr.,35604,985
14353,AM 103259,Escholtz Bay,40936,greater than
14932,AM 8460,Ban Cr.,15373,101
14933,AM 1273,Goldstream,24730,224
14356,AM 1488,Koyuk,19763,307
14934,AM 24,Cleary Cr.,13436,87
14935,AM 8052,Cleary Cr.,18379,124
14936,AM 6455,Goldstream,17354,143
14937,AM 840,Cripple Cr.,38490,1005
14938,AM 11,Cleary Cr.,12337,108
14939,AM 1114,Ester Cr.,46391,2699
14357,AM 13752,Escholtz Bay,12508,145
14940,AM 6675,Goldstream,12123,88
14941,AM 6672,Goldstream,15426,98
14358,AM 14371,Elephant Pt.,33338,1537
14942,AM 4009,Goldstream,31689,459
14943,AM 4956,Goldstream,21705,180
14944,DaveAnderson,Chena,13380,88
14946,"My Ikpikpu,",Ikpikpuk R.,41100,greater than
14947,AK 201-V-2,Goldstream,13060,150
14948,AK F-29,Livengood,41100,greater than
14959,AK119-V-1,Colville R.,41100,greater than
14951,AK208-V-1,Alaskan,22760,430
14952,AK-V-167,Elephant Pt.,40900,greater than
14953,A-5,Meade R.,41100,greater than
14954,AK204-V-1,Ikpikpuk,12490,170
17522,AK206-V-1,Livengood,40900,greater than
14959,AK72-4,Titalik,39400,greater than
14960,AK001,Long Cr.,20350,330
14961,AKV-72-5,Tatalik,40700,greater than
14962,AK203-V-1,Fbks. Area,38900,greater than
22572,AK 2036-5,Fbks. Area,39700,3400
22573,AK A-1011,Galena,11500,160
22574,AK323-V-1,Ikpikpuk,31100,1200
22576,AK202-V-1,Weisman,32340,1400
22577,AK172-V-1,Rampart,25560,600
22613,AK1155,Norton Bay,37600,greater than
22614,AK1961,Elephant Pt.,39700,
22617,Tusk,Umiat,40800,greater than
22618,AK V-9-1,Candle AK,41100,greater than
22620,V-30-76,Meade River,41000,greater than
25995,UNM 4162,Escholtz Bay,36100,greater than
25997,50AEM47,Bristol Bay,28440,850
25998,USNM no#,Beaver Cr.,36700,2400
25999,UNM11704,Ruby,13690,190
26000,UNM8855,St. Michaels,14830,180
26001,UNM8854,St. Michaels,38000,greater than
26002,UNM11581,Ruby,14300,170
26003,UNM11329,Port Clarence,20120,350
26004,UNM8572,Southeast AK           ,18090,250
28005,UNM6567,Port Clarence            ,32400,1430
26006,UNM6648,Cape Lisborn           11910,,130
26007,UNM8847,Escholtz Bay            ,35100,2000
26008,UNM8844,Elephant Pt.,41100,greater than
26009,UNM8846,Norton Sound         ,37100,2500
26011,UNM10892,Elephant Pt.,38400,greater than
26012,UNMTusk,Elephant Pt.             ,27360,770
26013,UNM6068a,Point Hope,24193,510
26014,UMN6068b,Point Home,31600,1200
26015,UMN6068c,Point Hope,15740,230
26016,UNM6552,Kotzebue Snd.,36200,greater than
26017,UNM6558,Cap.Princ. Wh.           ,12440,130
26018,UNM6561,Kotzebu. Snd.             ,19870,310
26019,UNM6655,Yuk Palisades,40900,greater than
26021,UNM1992,Yuk Palisades,18140,280
26022,UNM6659,Nulato,26050,690
26025,UNM2430,Porcupine R.                ,40210,greater than
26027,UNM8851,Pastolic AK,40400,3700
26028,UNM11997,Point Hope,13290,140
26029,UNM6557,Point Clarence,27180,730
26030,UNM11585,Ruby,14760,170
26031,UNM6563,Kotzebue Snd.               ,35664,greater than
26032,UNM6560,Kotzebue Snd.              ,37490,greater than
26033,UNM16502,Escholtz Bay                ,14260,160
26034,UNM11161,Bristol Bay,34400,1800
26035,UNM8848,Kotzebue Snd.              ,20780,340
26036,UNM6652,Nowitna,40091,greater than
26037,UNM6668,Anvik,41097,greater than
26038,UNM6559,Cap.Princ.Wal             ,38155,greater than
26039,UNM4162,Escholtz Bay             ,41097,greater than
17601,Chk Holmes,Delta AK,11540,140
17602,IK-35,Ikpikpuk,31300,1200
17603,IK-31,Ikpikpuk,37000,greater than
17604,IK-36,Ikpikpuk,37600,greater than
17605,IK-33,Ikpikpuk,38000,2700
17606,IK-30,Ikpikpuk,40000,greater than
17607,IK-34,Ikpikpuk,39500,greater than
17608,IK-26,Ikpikpuk,39000,greater than
17609,IK-32,Ikpikpuk,38100,greater than
17610,Ik-27,Ikpikpuk,31000,greater than
17611,IK-29,Ikpikpuk,37500,greater than
17612,IK-16,Ikpikpuk,35700,greater than
17613,IK-22,Ikpikpuk,37200,greater than
17614,IK-24,Ikpikpuk,12190,130
17615,IK-25,Ikpikpuk,39800,3400
17616,IK-8,Ikpikpuk,28020,810
17616,IK-17,Ikpikpuk,36800,2500
17617,IK-15,Ikpikpuk,37600,greater than
17618,IK-7,Ikpikpuk,41100,greater than
17619,IK-14,Ikpikpuk,33400,1600
17620,IK-13,Ikpikpuk,19560,330
17621,IK-1,Ikpikpuk,41100,greater than
17622,IK-10,Ikpikpuk,37800,2700
17623,IK-3,Ikpikpuk,19970,350
17624,IK-2,Ikpikpuk,41100,greater than
17625,IK-5,Ikpikpuk,41000,greater than
17626,IK-23,Ikpikpuk,36800,greater than
17627,IK-4,Ikpikpuk,36700,2300
17628,IK-6,Ikpikpuk,39700,3400
22615,AK1014,Ikpikpuk R.,37400,2600
17576,NMC6742,Alaska,16170,210
17574,NMC6746,Tanana AK,23150,460
17571,NMC330,Amer. R. AK,16940,210
17572,NMC6599,Circle City AK,44400,greater than
17573,NMC6743,Norton Snd AK,40300,greater than
17575,NMC6745,Norton Snd.,36500,2300
14949,AK130-V-1,St. Lawrence,13250,170
14344,AM kukulik1,St. Lawerence,19447,162
14345,AM Kukulik2,St. Lawerence,22399,253
14346,AM Kukulik3,St. Lawerence,13315,201
14347,AM Kukulik4,St. Lawerence,24609,247
14348,AM Kukulik5,St. Lawerence,19759,197
14349,AM Kukulik6,St. Lawerence,21331,633
14350,No Number?,St. Lawerence,18691,427
14955,AK175-V-1,St. Lawrence Is.,16370,210
14956,AK199-V-1,St. Lawrence Is,18120,260
14957,AK174-V-1,St. Lawrence Is,40200,greater than
14958,AK176-V-1,St. Lawrence Is,32700,1400
17524,NMC47732,Sixty Mile YT,36800,2400
17525,NMC47733,Sixty Mile YT,38700,greater than
17526,NMC44734,Sixty Mile YT,36900,greater than
17527,NMC33899,Sixty Mile YT,36600,greater than
17528,NMC42768,Sixty MIle YT,36700,greater than
17529,NMC46622,Dawson Loc 62,34700,1900
12660,NMC4660,Dawson area,37700,2600
17531,NMC11708,Dominion Cr.,31600,1300
17532,NMC46621,Dawson area,35400,2000
17533,NMC7735,Last Chance,40100,3600
17534,NMC43124,Dawson area,36600,2300
17535,NMC42292,Dawson area,37920,2700
17536,NMC46221,Dawson area,37600,2600
17537,NMC47400,Henderson Cr.,41100,greater than
17538,NMC42135,Eldorado Cr.,30000,1000
17539,NMC42451,Gold Run Cr.,31200,1200
17540,NMC42611,Hunker Cr.,37800,greater than
17541,NMC7736,AC'N 34 YT,38600,greater than
17542,NMC773,1915 YT,35700,2000
17543,NMC775,Klondike (?),39300,3200
17544,NMC772,Last Chance YT,36800,2400
