radiocarbon_id,14C age,error
2352,1060,50
2824,1190,60
26,1190,75
23,1365,220
529,1430,130
2041,1450,50
513,1460,165
25,1465,65
522,1470,120
1528,1510,40
688,1515,30
514,1515,120
536,1520,100
2449,1520,55
1707,1530,70
2645,1533,34
2040,1538,39
2393,1540,60
2575,1542,31
1709,1550,60
676,1560,70
1018,1560,70
1708,1560,70
518,1565,105
532,1565,90
2872,1570,31
2534,1570,40
2842,1570,40
1407,1580,35
1835,1580,55
2523,1580,40
2538,1580,40
2552,1580,40
2539,1580,40
2525,1580,40
2522,1580,40
1540,1580,40
2524,1580,40
507,1585,70
2043,1587,38
1889,1588,23
2321,1590,60
2540,1590,40
1461,1590,40
535,1590,75
402,1595,70
2112,1595,35
2407,1600,40
2241,1600,50
1067,1600,40
2272,1600,80
2561,1600,60
373,1600,50
372,1600,65
718,1600,34
2640,1601,35
2044,1604,38
2418,1607,37
2859,1608,22
2404,1610,40
2839,1610,45
1537,1610,40
99,1610,60
515,1610,60
2471,1610,50
1138,1612,27
2556,1620,40
1064,1620,40
2042,1620,70
1066,1620,40
1422,1620,40
1762,1620,40
516,1620,130
1536,1621,35
2840,1625,40
2438,1625,90
2045,1628,39
719,1629,37
1593,1630,40
410,1630,130
1150,1630,40
800,1630,40
682,1630,80
2614,1631,20
2665,1635,38
414,1635,65
371,1635,65
1639,1638,21
962,1639,21
2410,1640,40
784,1640,40
966,1640,50
2243,1643,40
687,1645,25
2673,1645,35
2417,1647,33
1886,1649,21
1914,1650,40
1137,1650,40
2832,1652,31
1887,1653,29
2612,1654,21
684,1654,43
2490,1655,45
374,1660,80
2409,1660,40
2453,1660,40
675,1660,60
726,1660,60
1789,1666,30
1267,1669,29
1120,1670,55
413,1670,70
1774,1670,40
509,1670,50
2046,1674,38
1675,1674,23
29,1676,168
77,1677,45
694,1679,33
2870,1680,23
2240,1680,30
1814,1680,50
1737,1680,22
1317,1680,40
1538,1683,36
1883,1684,24
1539,1684,36
530,1685,70
394,1685,30
1079,1689,16
963,1689,15
2301,1690,55
407,1690,55
2854,1690,35
2551,1690,40
1702,1690,50
967,1690,50
709,1691,20
2802,1691,20
1735,1692,23
707,1692,20
964,1693,22
2234,1700,24
1705,1700,55
2557,1700,40
2254,1703,30
1878,1705,31
708,1707,20
2403,1710,50
2408,1710,40
412,1710,75
1436,1710,40
1746,1715,27
1322,1715,19
1888,1716,23
2394,1720,80
799,1720,40
208,1725,115
208,1725,115
202,1730,80
1986,1730,70
745,1730,31
1040,1736,33
1035,1736,32
1706,1737,41
345,1740,80
200,1740,100
2090,1740,35
1740,1744,38
1832,1747,33
2611,1750,20
723,1750,80
2245,1755,30
233,1755,90
717,1757,27
1630,1759,42
1676,1760,29
2437,1760,60
2320,1765,70
1568,1770,25
206,1770,65
205,1770,90
2057,1776,22
1604,1780,40
683,1781,35
2251,1785,30
2791,1785,230
383,1785,45
1626,1788,26
179,1790,40
1662,1790,40
1316,1790,50
2472,1790,80
353,1795,65
411,1795,20
1787,1796,23
175,1800,40
2458,1800,40
370,1800,55
1442,1800,40
22,1800,155
97,1800,80
786,1800,40
2469,1804,51
24,1805,75
1598,1810,40
1118,1820,50
406,1825,30
1751,1830,30
1558,1830,40
256,1830,50
2388,1830,60
701,1833,30
178,1835,40
329,1840,110
1080,1842,16
180,1845,85
2323,1847,45
1365,1850,40
734,1850,40
2454,1850,40
1836,1854,32
230,1855,50
