Name,c14_age,c14_sig,Seren_Col_D,Seren_Col_E
R_Date UBA-11464,-24348,145,1,1
R_Date SUERC-25426,-12308,227,1,1
R_Date UB-6777,-11082,71,1,1
R_Date Beta-201088,-9084,157,1,2
R_Date UB-7015,-8745,128,1,2
R_Date UB-6780,-8126,101,1,2
R_Date Beta-272868,-6935,97,2,3
R_Date UBA-13961,-6659,40,2,3
R_Date UB-7014,-6537,47,2,3
R_Date UB-12983,-6391,54,2,3
R_Date Beta-218634,-6306,70,2,3
R_Date Beta-201071,-6166,74,2,3
R_Date UB-10500,-6064,52,2,3
R_Date SUERC-25476,-6034,61,2,3
R_Date UB-13404,-6015,30,2,3
R_Date UB-13401,-5965,37,2,4
R_Date UB-13222,-5864,55,2,4
R_Date Beta-272870,-5801,59,2,4
R_Date UB-6609,-5677,33,2,4
R_Date SUERC-29340,-5542,42,2,4
R_Date SUERC-17261,-5263,46,2,4
R_Date SUERC-31605,-5156,73,2,4
R_Date Beta-233920,-5143,71,2,4
R_Date Beta-231957,-5131,74,2,4
R_Date Beta-231958,-5111,66,2,4
R_Date SUERC-29339,-5107,67,2,4
R_Date Beta-246997,-5089,73,2,4
R_Date Beta-231954,-5089,73,2,4
R_Date Beta-231952,-5068,77,2,4
R_Date UBA-12091,-4996,63,2,4
R_Date Beta-231950,-4963,86,2,4
R_Date Beta-231956,-4950,82,2,4
R_Date Beta-231953,-4924,75,2,4
R_Date Beta-231951,-4924,75,2,4
R_Date Beta-231947,-4923,61,2,4
R_Date UB-6630,-4891,58,2,4
R_Date Beta-231955,-4869,67,2,4
R_Date Beta-231949,-4855,67,2,4
R_Date Beta-231948,-4855,67,2,4
R_Date Beta-241472,-4740,78,2,4
R_Date GrN-21936,-4678,59,2,4
R_Date UB-13223,-4663,48,2,4
R_Date UB-13287,-4580,53,2,4
R_Date UB-6641,-4499,55,2,4
R_Date UB-6494,-4422,50,2,4
R_Date UBA-12070,-4411,38,2,4
R_Date UB-6642,-4411,41,2,4
R_Date UBA-12114,-4283,52,2,4
R_Date Beta-246999,-4139,70,2,4
R_Date Beta-247015,-4124,73,2,4
R_Date GrA-35591,-4122,71,2,4
R_Date OxA-X-2173-16,-4114,75,2,4
R_Date Beta-199985,-4052,90,2,4
R_Date UBA-12113,-4049,74,2,4
R_Date UBA-9364,-4045,73,2,4
R_Date UB-13292,-4017,48,2,4
R_Date UBA-8828,-4016,40,2,4
R_Date Beta-196295,-4014,63,2,4
R_Date SUERC-29347,-3987,63,3,5
R_Date Beta-205184,-3982,64,3,5
R_Date Wk-18552,-3980,86,3,5
R_Date SUERC-37323,-3978,57,3,5
R_Date UBA-12897,-3977,63,3,5
R_Date Beta-247000,-3973,68,3,5
R_Date Beta-199984,-3970,96,3,5
R_Date UBA-8067,-3969,67,3,5
R_Date Beta-199987,-3963,71,3,5
R_Date UB-13284,-3958,61,3,5
R_Date Beta-186486,-3957,146,3,5
R_Date Beta-186483,-3924,133,3,5
R_Date UB-7236,-3882,63,3,5
R_Date UBA-13730,-3878,50,3,5
R_Date SUERC-17270,-3868,55,3,5
R_Date Beta-201027,-3867,56,3,5
R_Date Beta-199989,-3867,56,3,5
R_Date UB-6962,-3866,55,3,5
R_Date GrA-31961,-3866,55,3,5
R_Date Wk-17342,-3866,78,3,5
R_Date Beta-246996,-3866,57,3,5
R_Date Beta-237055,-3866,60,3,5
R_Date UB-6315,-3866,60,3,5
R_Date Beta-272871,-3864,66,3,5
R_Date Beta-199990,-3864,85,3,5
R_Date Beta-199988,-3864,108,3,5
R_Date Wk-17341,-3863,64,3,5
R_Date UB-6633,-3863,65,3,5
R_Date UBA-12899,-3862,68,3,5
R_Date Beta-246998,-3858,68,3,5
R_Date Wk-17343,-3857,69,3,5
R_Date Wk-17338,-3855,70,3,5
R_Date Beta-186488,-3852,85,3,5
R_Date Beta-178204,-3847,75,3,5
R_Date Beta-199986,-3844,73,3,5
R_Date UB-6717,-3826,77,3,5
R_Date Beta-178206,-3813,88,3,5
R_Date OxA-16037,-3800,78,3,5
R_Date SUERC-32366,-3790,76,3,5
R_Date UB-13145,-3789,74,3,5
R_Date UB-13146,-3785,75,3,5
R_Date SUERC-23492,-3782,76,3,5
R_Date UBA-12042,-3779,75,3,5
R_Date Beta-178210,-3767,90,3,5
R_Date Wk-17344,-3767,82,3,5
R_Date UBA-22268,-3765,79,3,5
R_Date Beta-246995,-3762,78,3,5
R_Date Beta-246993,-3762,78,3,5
R_Date UBA-15959,-3756,63,3,5
R_Date GrN-30848,-3752,72,3,5
R_Date UBA-15914,-3751,78,3,5
R_Date Beta-270198,-3749,74,3,5
R_Date UBA-22264,-3742,68,3,5
R_Date Wk-18551,-3742,74,3,5
R_Date Beta-171412,-3740,89,3,5
R_Date UB-6769,-3740,69,3,5
R_Date UBA-22265,-3739,56,3,5
R_Date UBA-7596,-3737,66,3,5
R_Date SUERC-25316,-3735,56,3,5
R_Date UB-13169,-3733,48,3,5
R_Date Beta-246992,-3729,64,3,5
R_Date UBA-12098,-3723,49,3,5
R_Date UBA-22272,-3722,56,3,5
R_Date SUERC-37321,-3721,54,3,5
R_Date UBA-13960,-3720,45,3,5
R_Date UBA-12043,-3714,44,3,5
R_Date SUERC-29348,-3713,56,3,5
R_Date UBA-12906,-3706,40,3,5
R_Date UBA-22262,-3706,48,3,5
R_Date UBA-8734,-3705,40,3,5
R_Date UBA-12896,-3701,39,3,5
R_Date Beta-246990,-3700,49,3,5
R_Date UBA-12895,-3696,37,3,5
R_Date UBA-11107,-3695,38,3,5
R_Date UBA-12048,-3695,38,3,5
